,lat
0,-113.58
1,37.1
2,-35.46
3,-5.2
4,-156.79
5,71.29
6,-116.88
7,33.93
8,55.48
9,-21.34
10,6.79
11,4.71
12,113.63
13,-24.87
14,-70.92
15,-53.15
16,-17.1
17,32.67
18,-133.04
19,69.45
20,79.57
21,30.57
22,-50.01
23,-24.79
24,-56.15
25,72.79
26,118.26
27,56.91
28,114.08
29,71.92
30,18.34
31,13.22
32,-68.3
33,-54.8
34,-175.2
35,-21.2
36,92.9
37,20.15
38,169.85
39,-46.28
40,-15.21
41,64.25
42,-91.92
43,50.1
44,140.83
45,35.73
46,147.33
47,-42.88
48,84.42
49,18.77
50,147.92
51,70.63
52,45.44
53,44.63
54,-90.35
55,-0.74
56,-54.33
57,-34.48
58,-52.73
59,47.67
60,64.42
61,63.19
62,22.22
63,-10.71
64,125.41
65,-8.93
66,-76.22
67,-13.7
68,14.28
69,-22.12
70,-104.7
71,19.22
72,-92.58
73,40.19
74,-50.21
75,-30.18
76,143.21
77,-9.08
78,25.68
79,8.46
80,-82.5
81,28.75
82,30.79
83,59.7
84,-69.22
85,-51.62
86,57.7
87,-20.41
88,80.55
89,73.51
90,20.04
91,-34.53
92,-87.8
93,42.02
94,-135.33
95,57.05
96,19.23
97,-34.42
98,168.86
99,-46.19
100,14.04
101,57.19
102,-134.97
103,-23.12
104,-159.78
105,-21.21
106,27.91
107,-33.02
108,43.24
109,50.06
110,170.31
111,69.7
112,-84.36
113,34.02
114,-97.78
115,26.48
116,161.3
117,68.75
118,-79.24
119,42.1
120,172.79
121,3.07
122,-57.56
123,-38.0
124,-139.03
125,-9.8
126,-124.16
127,40.6
128,18.42
129,-33.93
130,-159.32
131,22.08
132,24.73
133,-34.0
134,26.89
135,-33.59
136,91.64
137,48.01
138,-45.24
139,60.14
140,55.77
141,-21.36
142,-63.24
143,-32.41
144,-77.03
145,-12.04
146,-72.42
147,-35.33
148,25.57
149,-33.92
150,-155.09
151,19.73
152,-25.67
153,37.73
154,168.33
155,-46.6
156,32.04
157,-28.78
158,-8.01
159,31.63
160,35.33
161,-9.93
162,169.27
163,-19.55
164,-67.5
165,-45.87
166,40.18
167,-10.27
168,44.13
169,17.49
170,122.9
171,54.05
172,-73.97
173,42.6
174,150.86
175,-34.58
176,77.24
177,38.42
178,45.27
179,-12.79
180,13.23
181,-8.84
182,-69.36
183,77.48
184,-71.14
185,21.46
186,115.33
187,-33.65
188,57.76
189,-20.34
190,28.68
191,41.31
192,-72.03
193,42.08
194,41.87
195,9.59
196,-120.46
197,34.64
198,-114.35
199,62.46
200,38.1
201,-4.73
202,-62.95
203,-15.38
204,81.12
205,6.12
206,36.72
207,-8.68
208,-15.83
209,11.28
210,53.58
211,63.44
212,-38.13
213,-4.18
214,-106.73
215,34.81
216,167.68
217,-46.13
218,58.04
219,65.37
220,147.17
221,-41.45
222,9.66
223,39.93
224,27.34
225,-17.62
226,-46.4
227,-24.01
228,-66.87
229,50.03
230,-59.52
231,13.22
232,-37.64
233,65.61
234,-63.17
235,-17.8
236,49.25
237,39.37
238,50.81
239,9.49
240,170.5
241,-45.87
242,25.26
243,56.6
244,-77.12
245,20.34
246,27.21
247,35.51
248,-46.05
249,60.92
250,-68.59
251,70.47
252,-91.85
253,36.73
254,97.2
255,40.28
256,-152.41
257,57.79
258,53.65
259,28.94
260,128.05
261,46.95
262,-97.86
263,55.74
264,-6.59
265,62.23
266,-9.06
267,42.78
268,-134.42
269,58.3
270,-98.62
271,17.47
272,-0.42
273,39.37
274,0.33
275,49.58
276,24.73
277,2.79
278,19.92
279,-11.78
280,178.42
281,69.38
282,-34.81
283,-7.47
284,23.42
285,-19.98
286,143.2
287,42.92
288,30.29
289,36.37
290,-27.98
291,39.05
292,102.5
293,71.97
294,141.43
295,-31.95
296,-65.04
297,-42.77
298,119.39
299,4.66
300,143.99
301,-6.28
302,-158.09
303,21.35
304,147.98
305,-37.88
306,-8.16
307,42.03
308,114.16
309,22.29
310,-147.72
311,64.84
312,-60.63
313,-9.17
314,88.4
315,69.49
316,-68.27
317,12.15
318,87.98
319,65.82
320,37.04
321,52.23
322,70.83
323,66.83
324,-1.8
325,51.07
326,-35.74
327,-9.67
328,-67.53
329,-16.41
330,150.14
331,-5.55
332,-82.53
333,33.19
334,-124.16
335,40.8
336,-53.46
337,-33.7
338,116.85
339,-20.74
340,35.78
341,45.3
342,12.15
343,-15.2
344,-28.7
345,38.52
346,108.97
347,1.17
348,114.6
349,-28.77
350,-58.65
351,51.23
352,46.03
353,-18.77
354,-73.65
355,-37.62
356,35.91
357,41.57
358,31.11
359,70.37
360,133.88
361,-23.7
362,135.48
363,-3.37
364,128.18
365,-3.7
366,-105.17
367,27.67
368,39.64
369,-0.45
370,55.62
371,-21.37
372,-103.49
373,31.42
374,-173.3
375,64.38
376,-121.92
377,36.62
378,121.9
379,-33.87
380,-16.9
381,32.63
382,128.87
383,71.69
384,-131.65
385,55.34
386,-79.15
387,-7.84
388,54.09
389,17.02
390,139.5
391,-20.73
392,100.93
393,4.77
394,114.33
