,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.1,-79.24,72.0,83,1,5.61,US,1597118827
1,Hermanus,-34.42,19.23,53.01,87,5,8.99,ZA,1597118827
2,Puerto Suárez,-18.95,-57.8,72.25,38,0,3.42,BO,1597118828
3,Oriximiná,-1.77,-55.87,79.14,58,0,2.86,BR,1597118829
4,Salalah,17.02,54.09,78.8,88,90,5.82,OM,1597118830
5,Atuona,-9.8,-139.03,78.67,72,0,18.84,PF,1597118831
6,Ushuaia,-54.8,-68.3,30.2,86,40,4.7,AR,1597118832
7,Vaini,-21.2,-175.2,77.0,73,20,9.17,TO,1597118833
8,Yellowknife,62.46,-114.35,63.0,100,75,3.36,CA,1597118642
9,Urubichá,-15.38,-62.95,74.5,50,0,2.8,BO,1597118834
10,Porto-Novo,6.5,2.6,72.57,87,100,6.35,BJ,1597118643
11,Mount Gambier,-37.83,140.77,59.0,62,99,19.46,AU,1597118836
12,Nikolskoye,59.7,30.79,55.4,71,75,15.66,RU,1597118837
13,Cidreira,-30.18,-50.21,67.55,70,73,8.88,BR,1597118838
14,Dikson,73.51,80.55,37.26,87,100,22.21,RU,1597118839
15,Hofn,64.25,-15.21,52.74,94,98,9.86,IS,1597118839
16,Gayny,60.31,54.32,55.18,66,0,6.4,RU,1597118840
18,Saint George,37.1,-113.58,93.2,7,1,11.41,US,1597118842
19,Ngunguru,-35.62,174.5,62.01,3,100,11.99,NZ,1597118843
20,Marsá Maţrūḩ,31.35,27.25,75.2,83,2,5.26,EG,1597118844
21,Zile,40.3,35.89,62.6,77,0,2.1,TR,1597118845
22,Gweta,-20.18,25.23,55.18,39,0,0.67,BW,1597118845
23,Bambous Virieux,-20.34,57.76,68.0,87,20,8.05,MU,1597118846
24,Cape Town,-33.93,18.42,54.0,87,75,12.75,ZA,1597118609
25,Guymon,36.68,-101.48,73.4,69,1,12.75,US,1597118825
26,Lukovetskiy,64.3,41.92,50.0,93,90,6.71,RU,1597118849
27,São José da Coroa Grande,-8.9,-35.15,72.82,85,9,10.2,BR,1597118850
28,Busselton,-33.65,115.33,62.01,57,39,16.89,AU,1597118850
29,Rikitea,-23.12,-134.97,70.05,75,65,22.93,PF,1597118851
30,Puerto Ayora,-0.74,-90.35,66.0,98,90,4.0,EC,1597118852
31,Yangi Marg`ilon,40.43,71.72,86.0,28,58,4.7,UZ,1597118853
32,Chelno-Vershiny,54.43,51.1,56.16,76,0,8.93,RU,1597118854
33,Faanui,-16.48,-151.75,78.1,70,0,8.72,PF,1597118855
34,Port Alfred,-33.59,26.89,55.33,67,0,10.2,ZA,1597118856
35,Lemoore,36.3,-119.78,95.0,37,20,11.41,US,1597118804
36,Nemuro,43.32,145.57,89.6,70,75,11.41,JP,1597118857
37,Avarua,-21.21,-159.78,71.6,64,8,6.93,CK,1597118858
38,Moroni,-11.7,43.26,71.6,68,20,4.7,KM,1597118859
39,Albany,42.6,-73.97,72.0,83,10,3.0,US,1597118860
40,Mataura,-46.19,168.86,52.0,71,69,13.0,NZ,1597118861
41,Saldanha,-33.01,17.94,51.8,93,75,10.29,ZA,1597118861
42,Konstantinovka,49.62,127.98,82.35,53,49,11.03,RU,1597118862
43,High Level,58.52,-117.14,57.2,82,75,5.82,CA,1597118863
44,Chikwawa,-16.03,34.8,57.27,42,0,0.69,MW,1597118864
45,Huarmey,-10.07,-78.15,59.5,84,25,6.85,PE,1597118865
46,Ust-Maya,60.42,134.53,68.02,71,36,1.16,RU,1597118866
47,Hobart,-42.88,147.33,51.8,50,30,8.05,AU,1597118757
48,Bredasdorp,-34.53,20.04,46.4,93,15,3.36,ZA,1597118867
49,Sibolga,1.74,98.78,87.89,54,100,4.27,ID,1597118868
50,Raudeberg,61.99,5.14,59.0,93,75,2.68,NO,1597118869
51,Uchiza,-8.46,-76.46,71.78,81,83,1.72,PE,1597118870
52,Saskylakh,71.92,114.08,56.95,47,88,9.53,RU,1597118871
53,Jinka,5.65,36.65,64.44,81,86,1.19,ET,1597118872
54,Butaritari,3.07,172.79,82.69,74,53,9.98,KI,1597118873
55,San Cristobal,7.77,-72.22,65.88,91,99,2.64,VE,1597118873
56,Vaitape,-16.52,-151.75,78.93,69,0,8.72,PF,1597118645
57,Natchitoches,31.77,-93.13,78.8,88,1,5.73,US,1597118875
58,Hong Kong,22.29,114.16,89.01,75,100,7.0,HK,1597118776
59,Punta Arenas,-53.15,-70.92,32.0,90,100,14.99,CL,1597118877
60,Ribeira Grande,38.52,-28.7,70.12,69,55,12.64,PT,1597118878
61,Omboué,-1.57,9.26,73.18,84,73,8.01,GA,1597118879
62,Arman',59.7,150.17,62.46,63,99,6.26,RU,1597118880
63,Bengkulu,-3.8,102.27,82.98,81,82,7.7,ID,1597118758
64,Esperance,-33.87,121.9,59.0,77,90,29.97,AU,1597118881
65,Muroto-misakicho,33.28,134.15,86.0,89,75,13.87,JP,1597118882
66,Magistral'nyy,56.17,107.45,76.98,43,100,2.77,RU,1597118883
67,Hualmay,-11.1,-77.61,58.78,84,22,6.73,PE,1597118884
68,Kapaa,22.08,-159.32,78.8,78,90,19.46,US,1597118885
69,Izumo,35.37,132.77,91.4,59,75,11.41,JP,1597118886
70,Koundara,12.48,-13.3,74.5,93,100,5.08,GN,1597118887
71,San Fernando del Valle de Catamarca,-28.47,-65.79,44.01,67,99,1.99,AR,1597118619
72,Bluff,-46.6,168.33,52.0,71,88,13.0,NZ,1597118888
73,Tuktoyaktuk,69.45,-133.04,51.8,76,75,5.82,CA,1597118889
74,Zaysan,47.47,84.87,86.58,21,2,5.32,KZ,1597118890
75,Bandraboua,-12.7,45.12,73.4,78,20,4.7,YT,1597118891
76,Souillac,-20.52,57.52,57.2,87,20,8.05,MU,1597118892
77,Guaratinga,-16.57,-39.57,69.8,94,90,10.29,BR,1597118893
78,Codrington,-38.27,141.97,56.46,71,100,14.18,AU,1597118894
79,Sitka,57.05,-135.33,55.4,76,90,6.93,US,1597118895
80,Worland,44.02,-107.96,80.6,26,20,9.17,US,1597118410
81,Tevaitoa,-16.78,-151.5,78.58,70,0,10.36,PF,1597118896
82,Bethel,41.37,-73.41,72.0,100,1,3.36,US,1597118897
83,Makakilo City,21.35,-158.09,84.2,62,90,8.05,US,1597118898
84,Clarence Town,-32.58,151.78,64.0,67,75,11.41,AU,1597118899
85,Hilo,19.73,-155.09,80.6,69,90,6.82,US,1597118900
86,Saint Paul Harbor,57.79,-152.41,66.2,42,1,10.29,US,1597118901
87,Man,7.41,-7.55,69.76,93,100,3.89,CI,1597118902
88,Viedma,-40.81,-63.0,42.75,59,0,15.82,AR,1597118868
89,Kaiyuan,23.7,103.3,80.49,64,94,5.44,CN,1597118903
90,Bud,39.45,-86.18,69.01,94,40,9.17,US,1597118904
91,Gimli,50.63,-96.99,71.01,75,63,5.01,CA,1597118905
92,Icod de los Vinos,28.37,-16.71,73.0,82,35,1.99,ES,1597118906
93,Tasiilaq,65.61,-37.64,39.2,93,100,12.75,GL,1597118907
94,Kavieng,-2.57,150.8,84.61,65,71,1.95,PG,1597118907
95,Leningradskiy,69.38,178.42,44.91,88,100,12.26,RU,1597118908
96,Inongo,-1.95,18.27,70.18,80,77,2.59,CD,1597118909
97,Iqaluit,63.75,-68.51,41.0,86,75,1.3,CA,1597118910
